LOCATION,latitude,longitude,incidence,RISK,100,cfr,Z,NEW CASES,TOTAL CASES,NEW DEATHS,TOTAL DEATHS,rank
Petersburg|Alaska|US,57.13978948,-132.9540995,183.7109614,0,0,14.28571429,0,0,7,0,1,1
Sitka|Alaska|US,57.24124555,-135.3206587,247.2624514,0,0,0,0,0,34,0,0,1
Southeast Fairbanks|Alaska|US,63.87692095,-143.2127643,203.1045989,0,0,0,0,0,18,0,0,1
Unassigned|Alaska|US, nil, nil,#N/A,0,0,0,0,0,1,0,0,1
Valdez-Cordova|Alaska|US,61.47502768,-144.7126799,456.4225168,0,0,0,0,0,69,0,0,1
Yakutat|Alaska|US,59.8909808,-140.3601451,#N/A,0,0,0,0,0,9,0,0,1
Greenlee|Arizona|US,33.21498827,-109.2405279,568.5407454,0,0,1.754385965,0,0,57,0,1,1
La Paz|Arizona|US,33.72854224,-113.9810029,2217.168846,0,0,2.828282828,0,0,495,1,14,1
Unassigned|Arizona|US, nil, nil,#N/A,0,0,0,0,0,0,1,1,1
Cleveland|Arkansas|US,33.89723187,-92.18537045,791.8552036,0,0,1.57480315,0,0,127,0,2,1
Fulton|Arkansas|US,36.38177105,-91.81729127,208.3834255,0,0,0,0,0,55,0,0,1
Grant|Arkansas|US,34.29017991,-92.42320562,667.9441555,0,0,0,0,0,164,0,0,1
Lafayette|Arkansas|US,33.24116713,-93.60677071,724.6376812,0,0,3.076923077,0,0,65,0,2,1
Lawrence|Arkansas|US,36.04188196,-91.10867198,1054.492259,0,0,4.184100418,0,0,239,1,10,1
Madison|Arkansas|US,36.01038185,-93.72524943,1526.303089,0,0,0.699300699,0,0,286,0,2,1
Montgomery|Arkansas|US,34.53704874,-93.65824478,267.0821278,0,0,3.50877193,0,-1,57,0,2,1
Newton|Arkansas|US,35.91947491,-93.21612969,1147.942732,0,0,13.88888889,0,0,108,0,15,1
Pike|Arkansas|US,34.16250414,-93.65789349,643.776824,0,0,0.649350649,0,0,154,0,1,1
Scott|Arkansas|US,34.85588887,-94.0632176,340.4338099,0,0,0,0,0,84,0,0,1
Sharp|Arkansas|US,36.16258158,-91.47819342,556.1288843,0,0,3.787878788,0,0,132,0,5,1
Woodruff|Arkansas|US,35.18902527,-91.2439489,268.9873418,0,0,0,0,0,26,0,0,1
Alpine|California|US,38.59678594,-119.8223594,177.1479185,0,0,0,0,0,2,0,0,1
Humboldt|California|US,40.69923009,-123.876044,170.4067632,0,0,1.15942029,0,0,345,0,4,1
Madera|California|US,37.21513971,-119.7665589,1198.777069,0,0,1.467505241,0,0,3339,0,49,1
Mariposa|California|US,37.57978556,-119.9073334,308.085799,0,0,2.898550725,0,0,69,0,2,1
Modoc|California|US,41.58965602,-120.7244817,22.62187535,0,0,0,0,0,5,0,0,1
Mono|California|US,37.93899289,-118.8872409,886.1811133,0,0,1.234567901,0,0,162,0,2,1
Plumas|California|US,40.00355989,-120.8395236,170.1494125,0,0,0,0,0,40,0,0,1
Riverside|California|US,33.74314981,-115.9933578,1482.627727,0,0,1.873408512,0,0,49482,0,927,1
Santa Clara|California|US,37.23104908,-121.6970462,504.758664,0,0,1.445534331,0,0,15496,2,224,1
Shasta|California|US,40.76391419,-122.0396884,199.9111506,0,0,2.071563089,0,0,531,0,11,1
Sierra|California|US,39.57713498,-120.5200701,#N/A,0,0,0,0,0,6,0,0,1
Solano|California|US,38.26827353,-121.9357113,786.3409011,0,0,0.87163233,0,0,5048,0,44,1
Trinity|California|US,40.6491767,-123.114713,40.7000407,0,0,0,0,0,8,0,0,1
Unassigned|California|US, nil, nil,#N/A,0,0,0,0,0,0,0,0,1
Baca|Colorado|US,37.31940883,-102.5603223,390.952248,0,0,0,0,0,15,0,0,1
Bent|Colorado|US,37.95474293,-103.0720195,89.65393581,0,0,0,0,0,11,0,0,1
Cheyenne|Colorado|US,38.82777431,-102.6032558,436.919716,0,0,0,0,0,9,0,0,1
Costilla|Colorado|US,37.27732493,-105.4276548,565.9891948,0,0,0,0,0,26,0,0,1
Crowley|Colorado|US,38.32608609,-103.7844965,1187.922785,0,0,1.369863014,0,0,73,0,1,1
Custer|Colorado|US,38.10883162,-105.3683478,197.3164957,0,0,0,0,0,13,0,0,1
Delta|Colorado|US,38.86246243,-107.8631342,324.1127014,0,0,0.714285714,0,0,140,0,1,1
Dolores|Colorado|US,37.75208676,-108.5211585,48.66180049,0,0,0,0,0,2,0,0,1
Elbert|Colorado|US,39.28656773,-104.1358721,310.5241498,0,0,1.709401709,0,0,117,0,2,1
Gilpin|Colorado|US,39.85646523,-105.5252597,208.2332212,0,0,0,0,0,17,0,0,1
Grand|Colorado|US,40.10603347,-106.1178042,260.5821787,0,0,1.785714286,0,0,56,0,1,1
Hinsdale|Colorado|US,37.82247444,-107.3004345,365.8536585,0,0,0,0,0,3,0,0,1
Huerfano|Colorado|US,37.68473101,-104.9612585,86.99434537,0,0,12.5,0,0,8,0,1,1
Jackson|Colorado|US,40.6659387,-106.3408905,574.7126437,0,0,0,0,0,9,0,0,1
Kiowa|Colorado|US,38.43260896,-102.7392145,#N/A,0,0,0,0,0,0,0,0,1
Kit Carson|Colorado|US,39.30497777,-102.6022199,591.7993518,0,0,4.411764706,0,0,68,0,3,1
Las Animas|Colorado|US,37.3153406,-104.0376458,103.4054874,0,0,0,0,0,19,0,0,1
Lincoln|Colorado|US,38.98749519,-103.5136649,105.2446939,0,0,0,0,0,8,0,0,1
Moffat|Colorado|US,40.61810999,-108.2070876,180.6820748,0,0,3.03030303,0,0,33,0,1,1
Out of CO|Colorado|US, nil, nil,#N/A,0,0,0,0,0,0,0,0,1
